32   0.376953 0.382813 0.28125 0.417969 3 35
33 ! 0.287109 0.296875 0.28125 0.417969 5 35
34 " 0.0996094 0.115234 0.28125 0.417969 8 35
35 # 0.515625 0.544922 0 0.136719 15 35
36 $ 0.40625 0.429688 0.140625 0.277344 12 35
37 % 0.09375 0.134766 0 0.136719 21 35
38 & 0.257813 0.294922 0 0.136719 19 35
39 ' 0.361328 0.367188 0.28125 0.417969 3 35
40 ( 0.220703 0.234375 0.28125 0.417969 7 35
41 ) 0.205078 0.21875 0.28125 0.417969 7 35
42 * 0.953125 0.972656 0.140625 0.277344 10 35
43 + 0.734375 0.761719 0 0.136719 14 35
44 , 0.341797 0.349609 0.28125 0.417969 4 35
45 - 0.152344 0.167969 0.28125 0.417969 8 35
46 . 0.298828 0.308594 0.28125 0.417969 5 35
47 / 0.609375 0.632813 0.140625 0.277344 12 35
48 0 0.822266 0.849609 0 0.136719 14 35
49 1 0.134766 0.150391 0.28125 0.417969 8 35
50 2 0.355469 0.378906 0.140625 0.277344 12 35
51 3 0.685547 0.708984 0.140625 0.277344 12 35
52 4 0.671875 0.701172 0 0.136719 15 35
53 5 0.710938 0.734375 0.140625 0.277344 12 35
54 6 0.136719 0.162109 0.140625 0.277344 13 35
55 7 0.910156 0.9375 0 0.136719 14 35
56 8 0.939453 0.966797 0 0.136719 14 35
57 9 0.0820313 0.107422 0.140625 0.277344 13 35
58 : 0.310547 0.320313 0.28125 0.417969 5 35
59 ; 0.275391 0.285156 0.28125 0.417969 5 35
60 < 0.380859 0.404297 0.140625 0.277344 12 35
61 = 0.763672 0.791016 0 0.136719 14 35
62 > 0.761719 0.785156 0.140625 0.277344 12 35
63 ? 0.974609 0.994141 0.140625 0.277344 10 35
64 @ 0.0488281 0.0917969 0 0.136719 22 35
65 A 0.449219 0.480469 0 0.136719 16 35
66 B 0.660156 0.683594 0.140625 0.277344 12 35
67 C 0.578125 0.607422 0 0.136719 15 35
68 D 0.609375 0.638672 0 0.136719 15 35
69 E 0.863281 0.884766 0.140625 0.277344 11 35
70 F 0.910156 0.929688 0.140625 0.277344 10 35
71 G 0.482422 0.513672 0 0.136719 16 35
72 H 0.851563 0.878906 0 0.136719 14 35
73 I 0.369141 0.375 0.28125 0.417969 3 35
74 J 0.0214844 0.0390625 0.28125 0.417969 9 35
75 K 0.109375 0.134766 0.140625 0.277344 13 35
76 L 0 0.0195313 0.28125 0.417969 10 35
77 M 0.335938 0.373047 0 0.136719 19 35
78 N 0.703125 0.732422 0 0.136719 15 35
79 O 0.296875 0.333984 0 0.136719 19 35
80 P 0.8125 0.835938 0.140625 0.277344 12 35
81 Q 0.136719 0.175781 0 0.136719 20 35
82 R 0.164063 0.189453 0.140625 0.277344 13 35
83 S 0.507813 0.53125 0.140625 0.277344 12 35
84 T 0.191406 0.216797 0.140625 0.277344 13 35
85 U 0.880859 0.908203 0 0.136719 14 35
86 V 0.375 0.410156 0 0.136719 18 35
87 W 0 0.046875 0 0.136719 24 35
88 X 0.640625 0.669922 0 0.136719 15 35
89 Y 0.792969 0.820313 0 0.136719 14 35
90 Z 0.546875 0.576172 0 0.136719 15 35
91 [ 0.25 0.261719 0.28125 0.417969 6 35
92 \ 0.21875 0.255859 0 0.136719 19 35
93 ] 0.236328 0.248047 0.28125 0.417969 6 35
94 ^ 0.21875 0.244141 0.140625 0.277344 13 35
95 _ 0.837891 0.861328 0.140625 0.277344 12 35
96 ` 0.263672 0.273438 0.28125 0.417969 5 35
97 a 0.431641 0.455078 0.140625 0.277344 12 35
98 b 0.246094 0.271484 0.140625 0.277344 13 35
99 c 0.886719 0.908203 0.140625 0.277344 11 35
100 d 0.273438 0.298828 0.140625 0.277344 13 35
101 e 0.300781 0.326172 0.140625 0.277344 13 35
102 f 0.0605469 0.078125 0.28125 0.417969 9 35
103 g 0.328125 0.353516 0.140625 0.277344 13 35
104 h 0.583984 0.607422 0.140625 0.277344 12 35
105 i 0.322266 0.330078 0.28125 0.417969 4 35
106 j 0.117188 0.132813 0.28125 0.417969 8 35
107 k 0.787109 0.810547 0.140625 0.277344 12 35
108 l 0.332031 0.339844 0.28125 0.417969 4 35
109 m 0.177734 0.216797 0 0.136719 20 35
110 n 0.736328 0.759766 0.140625 0.277344 12 35
111 o 0 0.0253906 0.140625 0.277344 13 35
112 p 0.0273438 0.0527344 0.140625 0.277344 13 35
113 q 0.0546875 0.0800781 0.140625 0.277344 13 35
114 r 0.0800781 0.0976563 0.28125 0.417969 9 35
115 s 0.931641 0.951172 0.140625 0.277344 10 35
116 t 0.0410156 0.0585938 0.28125 0.417969 9 35
117 u 0.558594 0.582031 0.140625 0.277344 12 35
118 v 0.533203 0.556641 0.140625 0.277344 12 35
119 w 0.412109 0.447266 0 0.136719 18 35
120 x 0.634766 0.658203 0.140625 0.277344 12 35
121 y 0.482422 0.505859 0.140625 0.277344 12 35
122 z 0.457031 0.480469 0.140625 0.277344 12 35
123 { 0.169922 0.185547 0.28125 0.417969 8 35
124 | 0.351563 0.359375 0.28125 0.417969 4 35
125 } 0.1875 0.203125 0.28125 0.417969 8 35
126 ~ 0.96875 0.996094 0 0.136719 14 35
